city_ibge_code,municipio,state_ibge_code
1200401,RIO BRANCO,12
1200013,ACRELÂNDIA,12
1200807,PORTO ACRE,12
1200385,PLÁCIDO DE CASTRO,12
1200138,BUJARI,12
1200203,CRUZEIRO DO SUL,12
1200450,SENADOR GUIOMARD,12
1200336,MÂNCIO LIMA,12
1200708,XAPURI,12
1200054,ASSIS BRASIL,12
1200302,FEIJÓ,12
1200609,TARAUACÁ,12
1200500,SENA MADUREIRA,12
1200252,EPITACIOLÂNDIA,12
1200179,CAPIXABA,12
1200435,SANTA ROSA DO PURUS,12
1200104,BRASILÉIA,12
1200351,MARECHAL THAUMATURGO,12
1200427,RODRIGUES ALVES,12
1200344,MANOEL URBANO,12
1200393,PORTO WALTER,12
1200328,JORDÃO,12
2704302,MACEIÓ,27
2707503,PORTO REAL DO COLÉGIO,27
